date,views,views_uniques,clones,clones_uniques
2026-07-31,21,14,15,7
2026-08-01,18,10,48,19
2026-08-02,4,4,16,8
2026-08-03,25,15,47,11
2026-08-04,9,6,5,5
2026-08-05,11,10,9,5
2026-08-06,45,7,18,14
2026-08-07,77,31,9,7
2026-08-08,23,4,23,12
2026-08-09,11,6,7,6
2026-08-10,48,10,22,16
2026-08-11,189,97,118,59
2026-08-12,579,379,107,37
2026-08-13,302,157,376,48
2026-08-23,846,609,338,116
2026-08-24,2487,1580,182,121
2026-08-25,939,569,166,101
2026-08-26,516,354,82,41
2026-08-27,342,212,68,43
2026-08-28,776,527,145,79
2026-08-29,340,202,119,67
2026-08-30,221,158,29,24
2026-08-31,401,252,178,84
2026-09-01,462,283,71,49
2026-09-02,334,230,38,30
2026-09-03,211,139,154,37
2026-09-04,432,321,85,35
2026-09-05,305,159,690,129
2026-09-06,172,96,344,88
2026-09-07,181,123,493,140
2026-09-08,199,104,269,83
2026-09-09,443,281,579,111
2026-09-10,365,247,197,75
2026-09-11,216,136,170,61
2026-09-12,127,56,295,97
2026-09-13,121,80,225,63
2026-09-14,189,82,476,102
2026-09-15,226,102,720,134
2026-09-16,138,85,448,104
2026-09-17,168,81,470,135
2026-09-18,124,70,301,79
2026-09-19,116,60,421,113
2026-09-20,152,88,249,77
2026-09-21,183,97,225,63
2026-09-22,118,73,94,43
2026-09-23,141,85,333,111
